Id,SalePrice
1461,117941.61429022452
1462,154828.38701263772
1463,184391.68051831974
1464,196668.90268355724
1465,198287.57065222017
1466,170511.48371121375
1467,175630.25235003073
1468,158964.1087025194
1469,193213.12515701173
1470,116598.79860974924
1471,198501.85642919628
1472,95844.57474772111
1473,92925.7703875506
1474,143544.51207867125
1475,105597.45157114591
1476,367399.60188544245
1477,247742.1711657458
1478,277441.36402748706
1479,285136.98383499274
1480,459869.4558642913
1481,316985.7341094101
1482,211248.48490729742
1483,185083.86699356974
1484,160498.57864020203
1485,188392.16826250372
1486,197466.98027368568
1487,329433.1929939212
1488,228934.7849112397
1489,193408.7905557546
1490,241503.40267889926
1491,198064.6395658829
1492,91058.70523783348
1493,174989.3500539579
1494,295166.5538430923
1495,288449.3753109596
1496,232918.63756023656
1497,179370.9536748875
1498,167970.56513025728
1499,160912.92484336795
1500,154183.54812983386
1501,174430.7242409424
1502,142054.18428978726
1503,284564.1169172018
1504,239160.5132407381
1505,226205.29663851732
1506,190633.6095257935
1507,252627.15978009373
1508,201311.6592386187
1509,158004.7604215153
1510,142649.53249863794
1511,156442.35237463296
1512,178419.65905696168
1513,146103.3560843904
1514,157490.20110375521
1515,203861.73421268899
1516,155362.94062613172
1517,170355.66182121032
1518,132020.66715187114
1519,211258.37184006916
1520,125670.08611265321
1521,133423.94600659583
1522,180797.47557142487
1523,108750.82268578537
1524,129654.28090743291
1525,118697.46241227933
1526,111112.58093140594
1527,102573.67416576797
1528,139388.7835276888
1529,147338.86619743946
1530,176137.46852795777
1531,105441.2070174426
1532,97615.80545136122
1533,153562.05722915416
1534,133138.3235386621
1535,152043.49771795984
1536,108862.91424673512
1537,58325.38232716123
1538,145642.29748829754
1539,190623.40885275693
1540,99451.56529537615
1541,140814.830065559
1542,144385.635084886
1543,192020.3484562517
1544,89437.05599641873
1545,115624.0959322836
1546,133601.50974943396
1547,133811.55798585658
1548,140992.47993200627
1549,120164.77854244898
1550,133711.40065950528
1551,112701.3945183621
1552,131050.01936691202
1553,148142.50889306978
1554,113271.88591004862
1555,162489.8185016805
1556,86924.26004321637
1557,111217.42581605719
1558,102225.55995864485
1559,62557.56926336847
1560,132279.22138280454
1561,129109.7245786988
1562,127962.3054913036
1563,117170.97476928985
1564,161198.79234779612
1565,146936.1377433813
1566,240957.6992089541
1567,77081.88426631366
1568,238269.68214963103
1569,129780.17763238744
1570,133219.78555257097
1571,120227.68655991375
1572,146259.88146494128
1573,242751.61014041357
1574,118980.04784879995
1575,226389.0606935252
1576,250477.89434712572
1577,180862.10453047717
1578,145279.3579093924
1579,144496.08790093806
1580,192613.8016973721
1581,156646.46739471474
1582,120993.85528871484
1583,291461.68379682384
1584,220865.28196976337
1585,138009.20935724393
1586,60274.3885358912
1587,101800.0444255481
1588,152080.88319656672
1589,100288.14863998053
1590,136087.56220161257
1591,91635.66533320447
1592,121956.58413161284
1593,122488.1105170829
1594,133914.1581219325
1595,104490.45049510541
1596,223476.62309085275
1597,191669.91423662333
1598,225421.67543260468
1599,164112.20205842063
1600,160779.73039577878
1601,63544.42361601228
1602,117690.03428821883
1603,71948.7533197175
1604,251423.4005773212
1605,240409.85411407767
1606,169977.35199568924
1607,179641.2180079686
1608,217686.8117390737
1609,184669.9815131667
1610,147222.582427962
1611,140617.23119572952
1612,174039.8814049878
1613,165661.01269191407
1614,124279.40625872504
1615,93311.64086634082
1616,78133.6012769749
1617,92780.79035167485
1618,122525.33164846829
1619,138249.75891620133
1620,147780.73947377715
1621,142018.37264819784
1622,139082.62425862864
1623,252277.32049342722
1624,221937.1855388868
1625,120028.18999725077
1626,171572.22803955784
1627,193183.38504058265
1628,271229.32591512863
1629,172591.82144858525
1630,352774.9450376474
1631,225305.2674285705
1632,245361.66287190383
1633,168663.56436892808
1634,186294.20849901845
1635,176090.3511470802
1636,150889.73370253568
1637,205020.60372211097
1638,180019.63173262865
1639,187487.56358001343
1640,256691.66836814687
1641,179408.06132554894
1642,241063.5409931174
1643,213772.76963984876
1644,231595.65688155463
1645,203632.15194433543
1646,155624.18030850723
1647,155848.52672308366
1648,129717.81009681818
1649,140729.24278521547
1650,109114.20895955194
1651,120330.81275891516
1652,96066.29374069162
1653,98185.0662833087
1654,142245.44772280383
1655,131501.17541320832
1656,137275.1121641338
1657,144014.6946578825
1658,144174.1207665347
1659,110625.60550408623
1660,151159.1920559969
1661,424790.39662787603
1662,380383.6994445513
1663,375131.07771127234
1664,478252.4750584609
1665,304654.0375857178
1666,317539.680338997
1667,382870.9951694438
1668,346919.601897267
1669,297235.5874490432
1670,342058.5520248624
1671,269617.1371278494
1672,396166.4375188191
1673,288418.1715322016
1674,241910.61905918835
1675,204964.33268066373
1676,203783.55954257358
1677,224515.00811942827
1678,439813.38739841565
1679,366059.57077820326
1680,330723.27810116316
1681,243835.7985020305
1682,298453.85865038686
1683,187920.91024310456
1684,174259.0920396471
1685,177075.8519139024
1686,168439.56936622818
1687,169234.20785403368
1688,191743.7016351613
1689,194927.7194999967
1690,197826.13599725493
1691,185921.8685280506
1692,255899.72249151627
1693,163942.61398417226
1694,179055.3588308599
1695,156394.48966454755
1696,269859.94893517706
1697,159906.81531058592
1698,339506.1197243137
1699,306918.45444883284
1700,257961.96789662086
1701,275895.8689914919
1702,235426.86890233774
1703,232838.04597435208
1704,273539.92699862545
1705,237595.82007353602
1706,403662.81397163036
1707,211016.87125023088
1708,201478.80861987942
1709,259405.52350163044
1710,219397.23394558622
1711,268964.6350840862
1712,254857.46572641822
1713,272784.2348109593
1714,224437.20751155095
1715,208064.74102327583
1716,185354.2055837465
1717,175392.60390896123
1718,138874.27369453016
